CUSTOMER REFERENCE,RFM Loyalty Level
9,Gold
10,Gold
11,Platinum
12,Silver
13,Gold
14,Bronze
15,Gold
16,Silver
17,Platinum
18,Silver
19,Silver
20,Platinum
21,Silver
22,Silver
23,Platinum
24,Platinum
25,Silver
26,Bronze
27,Gold
28,Silver
29,Silver
30,Gold
31,Gold
32,Platinum
33,Platinum
34,Platinum
35,Gold
36,Platinum
37,Platinum
38,Platinum
39,Gold
40,Iron
41,Platinum
42,Silver
43,Iron
44,Silver
45,Gold
46,Gold
47,Gold
48,Iron
49,Platinum
50,Platinum
51,Silver
52,Gold
53,Gold
54,Platinum
55,Gold
56,Silver
57,Bronze
58,Gold
59,Iron
60,Gold
61,Gold
62,Platinum
63,Platinum
64,Silver
65,Platinum
66,Silver
67,Bronze
68,Silver
69,Gold
70,Silver
71,Platinum
72,Platinum
73,Platinum
74,Gold
75,Silver
76,Silver
77,Silver
78,Bronze
79,Platinum
80,Iron
81,Platinum
82,Gold
83,Gold
84,Gold
85,Silver
86,Iron
87,Silver
88,Platinum
89,Platinum
90,Platinum
91,Platinum
92,Silver
93,Gold
94,Bronze
95,Silver
96,Platinum
97,Bronze
98,Platinum
99,Gold
100,Platinum
101,Gold
102,Gold
103,Platinum
104,Gold
105,Gold
106,Gold
107,Silver
108,Silver
109,Gold
110,Silver
111,Platinum
112,Iron
113,Bronze
114,Gold
115,Silver
116,Gold
117,Platinum
118,Gold
119,Bronze
120,Gold
121,Platinum
122,Silver
123,Bronze
124,Gold
125,Platinum
126,Silver
127,Gold
128,Silver
129,Gold
130,Gold
131,Bronze
132,Gold
133,Silver
134,Platinum
135,Iron
136,Platinum
137,Gold
138,Gold
139,Bronze
140,Platinum
141,Platinum
142,Gold
143,Silver
144,Silver
145,Silver
146,Gold
147,Gold
148,Platinum
149,Platinum
150,Gold
151,Platinum
152,Gold
153,Gold
154,Platinum
155,Platinum
156,Silver
157,Platinum
158,Silver
159,Gold
160,Silver
161,Platinum
162,Gold
163,Gold
164,Platinum
165,Platinum
166,Platinum
167,Iron
168,Bronze
169,Platinum
170,Platinum
171,Platinum
172,Silver
173,Platinum
174,Gold
175,Silver
176,Platinum
177,Gold
178,Silver
179,Gold
180,Platinum
181,Bronze
182,Platinum
183,Silver
184,Platinum
185,Platinum
186,Silver
187,Gold
188,Platinum
189,Bronze
190,Platinum
191,Platinum
192,Platinum
193,Gold
194,Platinum
195,Gold
196,Bronze
197,Gold
198,Iron
199,Gold
200,Gold
201,Bronze
202,Gold
203,Platinum
204,Silver
205,Gold
206,Platinum
207,Silver
208,Platinum
209,Platinum
210,Platinum
211,Gold
212,Silver
213,Silver
214,Platinum
215,Iron
216,Silver
217,Bronze
218,Platinum
219,Silver
220,Silver
221,Gold
222,Silver
223,Bronze
224,Platinum
225,Silver
226,Gold
227,Platinum
228,Platinum
229,Silver
230,Gold
231,Platinum
232,Gold
233,Silver
234,Bronze
235,Gold
236,Platinum
237,Platinum
238,Bronze
239,Gold
240,Silver
241,Platinum
242,Platinum
243,Silver
244,Gold
245,Gold
246,Platinum
247,Bronze
248,Gold
249,Platinum
250,Gold
251,Gold
252,Platinum
253,Gold
254,Bronze
255,Platinum
256,Gold
257,Silver
258,Bronze
259,Gold
260,Gold
261,Bronze
262,Bronze
263,Platinum
264,Silver
265,Gold
266,Platinum
267,Bronze
268,Gold
269,Platinum
270,Platinum
271,Silver
272,Silver
273,Silver
274,Platinum
275,Silver
276,Platinum
277,Platinum
278,Gold
279,Platinum
280,Silver
281,Platinum
282,Platinum
283,Silver
284,Iron
285,Gold
286,Bronze
287,Platinum
288,Bronze
289,Platinum
290,Silver
291,Bronze
292,Platinum
293,Platinum
294,Silver
295,Platinum
296,Bronze
297,Iron
298,Gold
299,Platinum
300,Platinum
301,Platinum
302,Platinum
303,Gold
304,Platinum
305,Platinum
306,Platinum
307,Platinum
308,Iron
309,Silver
310,Bronze
311,Silver
312,Platinum
313,Platinum
314,Platinum
315,Silver
316,Platinum
317,Platinum
318,Silver
319,Iron
320,Bronze
321,Bronze
322,Bronze
323,Bronze
324,Gold
325,Platinum
326,Gold
327,Silver
328,Platinum
329,Gold
330,Platinum
331,Silver
332,Gold
333,Platinum
334,Platinum
335,Gold
336,Gold
337,Platinum
338,Gold
339,Platinum
340,Gold
341,Platinum
342,Platinum
343,Platinum
344,Iron
345,Gold
346,Silver
347,Silver
348,Platinum
349,Platinum
350,Platinum
351,Silver
352,Iron
353,Platinum
354,Gold
355,Bronze
356,Silver
357,Platinum
358,Platinum
359,Platinum
360,Platinum
361,Gold
362,Bronze
363,Platinum
364,Silver
365,Gold
366,Platinum
367,Gold
368,Gold
369,Silver
370,Gold
371,Gold
372,Iron
373,Platinum
374,Silver
375,Platinum
376,Platinum
377,Gold
378,Platinum
379,Bronze
380,Platinum
381,Platinum
382,Platinum
383,Platinum
384,Platinum
385,Platinum
386,Platinum
387,Platinum
388,Silver
389,Gold
390,Iron
391,Silver
392,Bronze
393,Gold
394,Platinum
395,Silver
396,Platinum
397,Platinum
398,Platinum
399,Silver
400,Gold
401,Gold
402,Bronze
403,Iron
404,Platinum
405,Iron
406,Platinum
407,Bronze
408,Silver
409,Platinum
410,Iron
411,Platinum
412,Silver
413,Gold
414,Gold
415,Silver
416,Platinum
417,Gold
418,Platinum
419,Platinum
420,Platinum
421,Gold
422,Platinum
423,Platinum
424,Gold
425,Iron
426,Silver
427,Bronze
428,Platinum
429,Bronze
430,Gold
431,Iron
432,Platinum
433,Gold
434,Silver
435,Platinum
436,Iron
437,Gold
438,Platinum
439,Platinum
440,Platinum
441,Silver
442,Platinum
443,Bronze
444,Platinum
445,Silver
446,Platinum
447,Bronze
448,Gold
449,Platinum
450,Silver
451,Platinum
452,Gold
453,Platinum
454,Gold
455,Silver
456,Bronze
457,Platinum
458,Gold
459,Platinum
460,Iron
461,Bronze
462,Platinum
463,Bronze
464,Platinum
465,Bronze
466,Gold
467,Bronze
468,Silver
469,Platinum
470,Platinum
471,Platinum
472,Platinum
473,Silver
474,Platinum
475,Platinum
476,Gold
477,Gold
478,Platinum
479,Platinum
480,Bronze
481,Gold
482,Bronze
483,Gold
484,Platinum
485,Platinum
486,Platinum
487,Bronze
488,Silver
489,Platinum
490,Silver
491,Platinum
492,Silver
493,Silver
494,Platinum
495,Iron
496,Bronze
497,Bronze
498,Gold
499,Platinum
500,Platinum
501,Platinum
502,Bronze
503,Platinum
504,Gold
505,Gold
506,Platinum
507,Silver
508,Gold
509,Gold
510,Platinum
511,Bronze
512,Platinum
513,Platinum
514,Gold
515,Silver
516,Bronze
517,Gold
518,Platinum
519,Silver
520,Bronze
521,Silver
522,Platinum
523,Silver
524,Platinum
525,Silver
526,Silver
527,Gold
528,Platinum
529,Bronze
530,Bronze
531,Gold
532,Platinum
533,Platinum
534,Iron
535,Platinum
536,Iron
537,Platinum
538,Gold
539,Platinum
540,Platinum
541,Platinum
542,Platinum
543,Gold
544,Gold
545,Gold
546,Platinum
547,Platinum
548,Silver
549,Iron
550,Silver
551,Iron
552,Iron
553,Platinum
554,Bronze
555,Gold
556,Silver
557,Gold
558,Bronze
559,Gold
560,Platinum
561,Bronze
562,Platinum
563,Iron
564,Iron
565,Iron
566,Iron
567,Bronze
568,Gold
569,Bronze
570,Platinum
571,Platinum
572,Gold
573,Silver
574,Platinum
575,Bronze
576,Silver
577,Silver
578,Gold
579,Bronze
580,Gold
581,Silver
582,Iron
583,Bronze
584,Platinum
585,Platinum
586,Bronze
587,Platinum
588,Gold
589,Silver
590,Gold
591,Platinum
592,Bronze
593,Platinum
594,Platinum
595,Platinum
596,Silver
597,Gold
598,Iron
599,Gold
600,Gold
601,Platinum
602,Platinum
603,Gold
604,Gold
605,Gold
606,Iron
607,Platinum
608,Iron
609,Gold
610,Gold
611,Bronze
612,Platinum
613,Gold
614,Platinum
615,Platinum
616,Silver
617,Silver
618,Silver
619,Platinum
620,Gold
621,Iron
622,Bronze
623,Gold
624,Silver
625,Gold
626,Iron
627,Silver
628,Gold
629,Platinum
630,Iron
631,Gold
632,Silver
633,Silver
634,Silver
635,Bronze
636,Bronze
637,Gold
638,Silver
639,Silver
640,Bronze
641,Gold
642,Gold
643,Bronze
644,Platinum
645,Bronze
646,Iron
647,Gold
648,Gold
649,Gold
650,Iron
651,Platinum
652,Bronze
653,Iron
654,Iron
655,Silver
656,Bronze
657,Gold
658,Bronze
659,Bronze
660,Iron
661,Platinum
662,Bronze
663,Silver
664,Gold
665,Bronze
666,Silver
667,Iron
668,Silver
669,Silver
670,Iron
671,Silver
672,Bronze
673,Gold
674,Silver
675,Gold
676,Gold
677,Iron
678,Silver
679,Bronze
680,Iron
681,Bronze
682,Bronze
683,Bronze
684,Bronze
685,Platinum
686,Platinum
687,Gold
688,Gold
689,Bronze
690,Platinum
691,Silver
692,Gold
694,Iron
695,Platinum
696,Gold
697,Gold
698,Iron
699,Iron
700,Platinum
701,Iron
702,Iron
703,Silver
704,Silver
705,Silver
706,Bronze
707,Iron
708,Platinum
709,Gold
710,Iron
711,Iron
712,Iron
713,Gold
714,Iron
715,Bronze
716,Iron
717,Iron
718,Iron
719,Iron
720,Iron
721,Silver
722,Iron
723,Gold
724,Iron
725,Silver
726,Platinum
727,Iron
728,Silver
729,Bronze
730,Iron
731,Iron
732,Platinum
733,Bronze
734,Bronze
735,Silver
736,Bronze
737,Gold
738,Iron
739,Iron
740,Bronze
741,Iron
742,Platinum
743,Bronze
744,Iron
745,Gold
746,Iron
747,Iron
748,Bronze
749,Bronze
750,Silver
751,Iron
752,Iron
753,Bronze
754,Gold
755,Silver
756,Silver
757,Silver
758,Gold
759,Platinum
760,Iron
761,Gold
762,Bronze
764,Iron
765,Gold
766,Bronze
767,Bronze
768,Gold
769,Iron
771,Bronze
772,Silver
773,Silver
774,Silver
775,Platinum
776,Silver
777,Silver
778,Iron
779,Iron
780,Iron
781,Iron
782,Iron
783,Silver
784,Gold
785,Gold
786,Iron
787,Bronze
788,Silver
789,Gold
790,Gold
791,Bronze
792,Gold
793,Bronze
795,Iron
796,Iron
797,Gold
798,Iron
799,Bronze
800,Iron
801,Iron
802,Bronze
803,Silver
804,Bronze
805,Iron
806,Iron
807,Bronze
808,Platinum
809,Silver
810,Iron
811,Gold
812,Bronze
813,Iron
814,Bronze
815,Iron
816,Bronze
817,Iron
818,Iron
819,Iron
820,Silver
821,Silver
822,Silver
823,Bronze
824,Gold
825,Bronze
826,Iron
827,Bronze
828,Iron
829,Iron
831,Bronze
832,Iron
833,Bronze
834,Iron
835,Bronze
836,Iron
837,Platinum
838,Silver
839,Silver
840,Silver
841,Silver
842,Iron
844,Bronze
845,Silver
846,Iron
847,Silver
848,Silver
849,Iron
850,Iron
851,Bronze
852,Gold
853,Silver
854,Bronze
855,Iron
857,Platinum
858,Iron
859,Iron
860,Iron
861,Bronze
862,Silver
863,Iron
865,Silver
866,Silver
867,Iron
868,Bronze
869,Bronze
870,Iron
871,Bronze
872,Gold
873,Gold
874,Bronze
875,Silver
876,Bronze
877,Gold
878,Gold
879,Bronze
880,Silver
881,Silver
883,Iron
884,Iron
885,Iron
886,Iron
887,Bronze
888,Silver
889,Gold
890,Bronze
891,Bronze
892,Bronze
893,Bronze
894,Bronze
895,Bronze
896,Iron
897,Bronze
898,Iron
899,Gold
900,Iron
901,Bronze
903,Iron
905,Bronze
906,Gold
907,Iron
908,Bronze
909,Gold
910,Bronze
911,Bronze
912,Iron
913,Bronze
914,Gold
915,Bronze
916,Bronze
917,Silver
919,Iron
920,Bronze
921,Bronze
923,Iron
924,Bronze
926,Silver
927,Iron
928,Iron
930,Silver
931,Bronze
932,Bronze
933,Iron
934,Silver
935,Bronze
936,Iron
938,Silver
939,Silver
940,Iron
941,Iron
943,Bronze
944,Bronze
945,Bronze
946,Bronze
948,Iron
949,Iron
950,Platinum
951,Bronze
952,Iron
953,Bronze
954,Bronze
955,Bronze
956,Iron
957,Bronze
958,Bronze
960,Iron
961,Silver
962,Iron
963,Bronze
965,Bronze
966,Bronze
967,Bronze
968,Bronze
971,Iron
972,Bronze
973,Iron
975,Bronze
980,Silver
981,Platinum
982,Bronze
984,Bronze
985,Bronze
986,Bronze
988,Bronze
991,Gold
993,Silver
996,Silver
999,Bronze
1001,Bronze
1002,Bronze
1005,Bronze
1008,Bronze
1012,Silver
1017,Silver
1020,Silver
1022,Bronze
1025,Bronze
1027,Bronze
1028,Bronze
1030,Bronze
1034,Bronze
1035,Silver
1039,Bronze
1040,Silver
1043,Silver
1052,Bronze
1060,Bronze
