DATE,VOUCHERNO,CUSTOMER REFERENCE,PRODUCT ID,PRODUCT NAME,QTY,MRP,AMOUNT
01-Nov-21,120000634,237,71581,ALOE VERA GEL 150 ML,1,90,90
01-Nov-21,120000634,237,3073,HONEY 250 GM,1,95,95
01-Nov-21,120000635,32,80586,GOKSHRADI   GUGGUL-20GM,1,33,33
01-Nov-21,120000635,32,80876,CHANDRAPRABHA  VATI -40GM,1,85,85
01-Nov-21,120000635,32,81237,VATARI   CHURNA -100GM,1,85,85
01-Nov-21,120000636,292,80970,TOOTH  BRUSH (JUNIOR),2,15,30
01-Nov-21,120000636,292,3111,VERMICELLI ROASTED 200G,1,20,20
01-Nov-21,120000636,292,81665,DALIA (WHEAT) 500GM,2,25,50
01-Nov-21,120000636,292,81043,NARIYAL  BISCUITS 300 GM,1,30,30
01-Nov-21,120000636,292,70471,ARJUNARISHTA - 450ML,1,94,94
01-Nov-21,120000636,292,81312,DASMULARIST 450 ML,1,98,98
01-Nov-21,120000637,375,81869,DRISHTI  EYE DROP 10 ML,1,20,20
01-Nov-21,120000638,446,82751,ALOEVERA GEL KESAR CHADAN 150ML,1,110,110
01-Nov-21,120000639,188,80692,KANTI LEP -50GM,1,70,70
01-Nov-21,120000639,188,82201,SILK AND SHINE 200ML,1,80,80
01-Nov-21,120000639,188,71581,ALOE VERA GEL 150 ML,1,90,90
01-Nov-21,120000639,188,82315,KAYALALP  VATI EXTRA POWER 20GM,1,125,125
01-Nov-21,120000639,188,82020,KESH KANTI  HAIR OIL 120 ML,1,130,130
01-Nov-21,120000639,188,73090,AMLA  MURABBA 1KG,1,185,185
01-Nov-21,120000640,375,70924,NEEM BODY CLEANSER 75GRM,1,18,18
01-Nov-21,120000640,375,72427,TRIPHLA  CHURNA -100GM,1,23,23
01-Nov-21,120000640,375,80691,SCRUB SPONGE 25/-,1,25,25
01-Nov-21,120000640,375,72932,TURMERIC  POWDER 100 GRM,1,28,28
01-Nov-21,120000640,375,70120,LOBAN DHOOP 30/-,1,30,30
01-Nov-21,120000640,375,81422,SUPERIOR  DETERGENT  POWDER 500 GM.,1,35,35
01-Nov-21,120000640,375,82903,TULSI VATI 20N,1,40,40
01-Nov-21,120000640,375,70839,ALOE VERA GEL 60 ML,1,45,45
01-Nov-21,120000640,375,1200,DISH W GEL (B) 45/-,1,45,45
01-Nov-21,120000640,375,70312,ROCK SALT 1 KG,1,60,60
01-Nov-21,120000640,375,83271,MADHURAM SUGAR  01 KG,1,65,65
01-Nov-21,120000640,375,70863,RED CHILLI  POWDER 200 GM,1,70,70
01-Nov-21,120000640,375,82203,MOONG DAL CHILKA 500GM,1,72,72
01-Nov-21,120000640,375,82195,ASHWAGANDHA  CHURNA-100GM,1,85,85
01-Nov-21,120000640,375,82020,KESH KANTI  HAIR OIL 120 ML,1,130,130
01-Nov-21,120000640,375,83310,HONEY 500 GM,1,180,180
01-Nov-21,120000640,375,81532,COW  GHEE  500 GM 295/-,1,295,295
01-Nov-21,120000641,298,71243,AAROGYA  BISCUIT 100GM,2,10,20
01-Nov-21,120000641,298,82274,ATT  NOODLES ( CLASSIC ),3,10,30
01-Nov-21,120000641,298,70910,DOODH BISCUIT 100GM,2,10,20
01-Nov-21,120000641,298,71071,NARIYAL  BISCUIT 100GM,2,10,20
01-Nov-21,120000641,298,81594,SCRUB PAD 10/-,1,10,10
01-Nov-21,120000641,298,71126,DISH  WASH  BAR 280GM,1,15,15
